colocationCenter,city,country
CFC,Chapeco,Brazil
SOF,Sofia,Bulgaria
MSP,Minneapolis,United States
IST,Istanbul,Turkey
MNL,Manila,Philippines
MCT,Muscat,Oman
HAM,Hamburg,Germany
AKX,Aqtobe,Kazakhstan
GOT,Gothenburg,Sweden
KJA,Krasnoyarsk,Russia
AMS,Amsterdam,Netherlands
DAR,Dar es Salaam,Tanzania
SJO,San Jose,Costa Rica
EZE,Buenos Aires,Argentina
BOM,Mumbai,India
CDG,Paris,France
YYC,Calgary,Canada
GIG,Rio de Janeiro,Brazil
LYS,Lyon,France
PER,Perth,Australia
JED,Jeddah,Saudi Arabia
ATL,Atlanta,United States
DAC,Dhaka,Bangladesh
TLV,Tel Aviv-Yafo,Israel
SKG,Thessaloniki,Greece
ZAG,Zagreb,Croatia
CMH,Columbus,United States
DXB,Dubai,United Arab Emirates
MAA,Chennai,India
RDU,Raleigh,United States
IAH,Houston,United States
MAN,Manchester,United Kingdom
JOG,Yogyakarta,Indonesia
SCL,Santiago,Chile
DTW,Detroit,United States
BCN,Barcelona,Spain
MXP,Milan,Italy
KCH,Kuching,Malaysia
OSL,Oslo,Norway
ATH,Athens,Greece
FCO,Rome,Italy
DEN,Denver,United States
KHH,Kaohsiung,Taiwan
CGK,Jakarta,Indonesia
ARN,Stockholm,Sweden
LIM,Lima,Peru
MCI,Kansas City,United States
BEY,Beirut,Lebanon
HYD,Hyderabad,India
KIX,Osaka,Japan
ALA,Almaty,Kazakhstan
GUA,Guatemala City,Guatemala
HEL,Helsinki,Finland
HNL,Honolulu,United States
FOR,Fortaleza,Brazil
FRA,Frankfurt,Germany
LHR,London,United Kingdom
ORD,Chicago,United States
CNF,Belo Horizonte,Brazil
PHX,Phoenix,United States
BRU,Brussels,Belgium
CCU,Kolkata,India
GYD,Baku,Azerbaijan
WAW,Warsaw,Poland
LPB,La Paz,Bolivia
VNO,Vilnius,Lithuania
SEA,Seattle,United States
BUD,Budapest,Hungary
JNB,Johannesburg,South Africa
STL,St. Louis,United States
LOS,Lagos,Nigeria
DOH,Doha,Qatar
ASU,Asuncion,Paraguay
KUL,Kuala Lumpur,Malaysia
LAX,Los Angeles,United States
AKL,Auckland,New Zealand
SUV,Suva,Fiji
MIA,Miami,United States
YOW,Ottawa,Canada
GVA,Geneva,Switzerland
EWR,Newark,United States
NRT,Tokyo,Japan
SYD,Sydney,Australia
MEL,Melbourne,Australia
VIE,Vienna,Austria
TLL,Tallinn,Estonia
CWB,Curitiba,Brazil
LAS,Las Vegas,United States
BKK,Bangkok,Thailand
BUF,Buffalo,United States
POA,Porto Alegre,Brazil
IAD,Washington,United States
ICN,Seoul,South Korea
RIX,Riga,Latvia
TXL,Berlin,Germany
TPA,Tampa,United States
EVN,Yerevan,Armenia
CBR,Canberra,Australia
KTM,Kathmandu,Nepal
PRG,Prague,Czech Republic
CPT,Cape Town,South Africa
YVR,Vancouver,Canada
CGP,Chattogram,Bangladesh
SIN,Singapore,Singapore
CPH,Copenhagen,Denmark
OTP,Bucharest,Romania
BTS,Bratislava,Slovakia
SJC,San Jose,United States
YYZ,Toronto,Canada
SLC,Salt Lake City,United States
YUL,Montreal,Canada
MUC,Munich,Germany
PDX,Portland,United States
DME,Moscow,Russia
KEF,Keflavik,Iceland
DEL,New Delhi,India
TBS,Tbilisi,Georgia
BOG,Bogota,Colombia
TPE,Taipei,Taiwan
JOI,Joinvile,Brazil
DUB,Dublin,Ireland
OKC,Oklahoma City,United States
MRS,Marseille,France
KHI,Karachi,Pakistan
GUM,Hagta,United States
QRO,Queretaro,Mexico
FRU,Bishkek,Kyrgyzstan
GRU,Sao Paulo,Brazil
LED,St. Petersburg,Russia
WRO,Wroclaw,Poland
LCA,Larnaca,Cyprus
GYE,Guayaquil,Ecuador
MAO,Manaus,Brazil
RUH,Riyadh,Saudi Arabia
MAD,Madrid,Spain
PIT,Pittsburgh,United States
HKG,Hong Kong,Hong Kong
FSD,Sioux Falls,United States
BNE,Brisbane,Australia
BEG,Belgrade,Serbia
DFW,Fort Worth,United States
BLR,Bangalore,India
JIB,Djibouti,Djibouti
LIS,Lisbon,Portugal
PMO,Palermo,Italy
NAG,Nagpur,India
ISB,Islamabad,Pakistan
ZRH,Zurich,Switzerland
NBO,Nairobi,Kenya
NVT,Navegantes,Brazil
KBP,Kyiv,Ukraine
ULN,Ulaanbaatar,Mongolia
BOS,Boston,United States
DUS,Dusseldorf,Germany